Tournament,Ground,Match Type,Overs,Date,Toss,Result,Team 1,Team 2,Match_ID,File_Name
30 Yca Series Match,,Test Match,Unlimited Over,,Toss: Parsi Gymkhana U14 opt to bat,Match Drawn,Parsi Gymkhana U14,Vijay Cricket Club U14,1,30 Yca Series Match.xlsx
30YCA Summer Cup,"30YCA Cricket Ground, Chandkhed, Pune",Limited Overs,50 Ov.,22-Jun-26 10:00 AM,Toss: Vijay Cricket Club U14 opt to bat,Metro Cricket Club won by 3 wickets,Vijay Cricket Club U14,Metro Cricket Club,2,30YCA Summer Cup.xlsx
*SACHIN ZIMAL GROUP PRESENT*U14 50 Over Tournament,"30YCA Cricket Ground(Spark) Jambhe, Pune",Limited Overs,50 Ov.,05-May-26 09:40 AM,Toss: Mavericks opt to field,Chhatrapati Cricket Academy won by 48 runs,Chhatrapati Cricket Academy,Mavericks,3,Chhatrapati Cricket Academy Mavericks.xlsx
SIOO Master Blaster Cup 2026,"SIOO Cricket Ground, Pune",Limited Overs,50 Ov.,29-May-26 09:05 AM,Toss: HKCA opt to bat,Mavericks Cricket Academy won by 2 wickets,HKCA,Mavericks Cricket Academy,4,HKCA    Mavericks Cricket Academy.xlsx
SIOO Master Blaster Cup 2026,"SIOO Cricket Ground, Pune",Limited Overs,50 Ov.,13-Jun-26 10:11 AM,Toss: Lesalt Cricket Academy opt to bat,Mavericks Cricket Academy won by 4 wickets,Lesalt Cricket Academy,Mavericks Cricket Academy,5,Lesalt Cricket Academy Mavericks Cricket Academy.xlsx
Individual,30 YCA cricket ground jambhe pune,limited over,50 over,8-may-26 9:37am,Toss: Mavericks A opt to bat,Mavericks A won by 223 runs,Mavericks A,Mavericks B,6,Mavericks A    Mavericks B.xlsx
Mavericks Cup U12 Test Series,"Mavericks Cricket Academy, Pune, Unlimited Overs",Test,Match,24-May-26 11:33 AM,Toss: Mavericks Crciket Club (U12-2026) opt to bat,"Vrindavan cricket acadmy, Punavale won by 8 wickets",Mavericks Crciket Club (U12-2026),"Vrindavan cricket acadmy, Punavale",7,Mavericks Crciket Club (U12-2026)   Vrindavan cricket acadmy Punavale.xlsx
SIOO Master Blaster Cup 2026,"SIOO Cricket Ground, Pune",Limited Overs,50 Ov.,28-May-26 09:14 AM,Toss: Amrit Sports opt to field,Mavericks Cricket Academy won by 388 runs,Mavericks Cricket Academy,Amrit Sports,8,Mavericks Cricket Academy    Amrit Sports.xlsx
Sioo Cricket Cup ,Sioo Cricket Ground Pune,limited over,30,2026-05-31 00:00:00,Toss: Siddharth cricket academy opt to field,Siddharth cricket academy won by 6 wickets,Mavericks Cricket Academy,Siddharth cricket academy,9,Mavericks Cricket Academy Siddharth cricket academy.xlsx
Mavericks Cup U12 Test Series,"Mavericks Cricket Academy, Pune, Unlimited Overs",Test,Match,24-May-26 11:33 AM,Toss: Mavericks Crciket Club (U12-2026) opt to bat,"Vrindavan cricket acadmy, Punavale won by 8 wickets",Mavericks Crciket Club (U12-2026),"Vrindavan cricket acadmy, Punavale",10,Mavericks Cup U12 Test Series.xlsx
Individual,jambhe cricket ground pune,limited over ,50 ovr,15-jan-26 9:45am,Toss: Vedic Fit Cricket Club opt to field,Vedic Fit Cricket Club won by 1 wicket,Mavericks U 14,Vedic Fit Cricket Club,11,Mavericks U 14  Vedic Fit Cricket Club.xlsx
Mavericks U14 Selection,"30YCA Spark Cricket Ground, Jambhe, Pune, Unlimited Overs",Test,Match,25-May-26 10:16 AM,Toss: MV Team A opt to bat,"Match Drawn, MV team B won 1inn with lead",MV Team A,MV Team B,12,Mavericks U14 Selection.xlsx
Mavericks U14 Selection,"30YCA Spark Cricket Ground, Jambhe, Pune, Unlimited Overs",Test,Match,18-May-26 09:10 AM,Toss: MV Team B opt to bat,Match Drawn Mvteam won 1 inn with lead,MV Team B,MV Team A,13,Mavericks U14 Selection1.xlsx
Mavericks U14 Selection,"30YCA Spark Cricket Ground, Jambhe, Pune",Limited Overs,50 Ov.,20-Apr-26 09:40 AM,Toss: MV Team A opt to field,MV Team B won by 1 runs,MV Team B,MV Team A,14,Mavericks U14 Selection2.xlsx
Mavericks U14 Selection,"30YCA Spark Cricket Ground, Jambhe, Pune, Unlimited Overs",Test,Match,23-Apr-26 10:01 AM,Toss: Mavericks B opt to bat,Mavericks B won by 30 runs,Mavericks B,Mavericks A,15,Mavericks U14 Selection3.xlsx
Mavericks U14 Selection,"30YCA Spark Cricket Ground, Jambhe, Pune",Limited Overs,50 Ov.,21-Apr-26 09:59 AM,Toss: Mavericks A opt to field,Maverick B won by 1 runs,Maverick B,Mavericks A,16,Mavericks U14 Selection4.xlsx
Mavericks U14 Selection,"30YCA Spark Cricket Ground, Jambhe, Pune",Limited Overs,50 Ov.,20-Apr-26 09:40 AM,Toss: MV Team A opt to field,MV Team B won by 1 runs,MV Team B,MV Team A,17,Mavericks U14 Selection5.xlsx
